calle_nombre;calle_altura;comuna
Díaz Cnel. Av.;22001;2
Gelly y Obes Gral. Av.;2213;2
Las Heras Gral. Av.;2669;2
Urquiza Gral.;1269;3
Pueyrredón Av.;863;3
San Juan Av.;2770;3
Chiclana Av.;2930;3
Patrón;7200;8
Guardia Nacional;5;8
Guardia Nacional;2384;8
Zuviría;5450;8
Echeandía;5550;8
Paz Gral. Av.;16600;8
Unanué;6808;8
Paz Gral. Av.;16200;8
Montiel;570;8
Chilavert Martiniano Cnel.;4;8
Saraza;5450;8
Saladillo;490;8
Larraya;3440;8
Paz Gral. Av.;15774;8
Paz Gral. Av.;15750;8
Paz Gral. Av.;15744;8
Gordillo Timoteo;520;8
Saladillo;5108;8
Riestra Av.;6280;8
De la Torre, Lisandro Av.;4250;8
Cafayate;4150;8
Leguizamón Martiniano;4150;8
Corvalán;10;8
Miralla;3320;8
Oliden;4308;8
Riestra Av.;5350;8
Larraya;3889;8
Oliden;3250;8
Corbeta Belfast;5250;8
Leguizamón Martiniano;4384;8
Leguizamón Martiniano;3250;8
Rucci José Ignacio;3250;8
Argentina Av.;5950;8
Piedrabuena Av.;4050;8
Aquino;6350;8
Somellera;5220;8
Fragata 25 de Mayo;6001;8
Fragata 25 de Mayo;6002;8
Fragata 25 de Mayo;6003;8
Fragata 25 de Mayo;6004;8
Fragata 25 de Mayo;6005;8
De la Torre, Lisandro Av.;4950;8
Corbeta Agreable;5101;8
De La Rosa José Dr.;7100;8
Perón Eva Av.;7200;8
Ibañez;7300;8
Perón Eva Av.;7400;8
Ibañez;7400;8
Saladillo;3401;8
Saladillo;3457;8
De La Rosa José Dr.;7300;8
Honduras;5450;14
Ombu;2910;14
Arcos;1226;14
Del Libertador, Av;3650;14
Soler;5;14
Soldado de La Independencia;680;14
Salguero Jerónimo;1222;14
Güemes;4250;14
Arenal Concepción;2320;14
Gurruchaga;1750;14
Borges Jorge Luis;1650;14
Vega Niceto Cnel. Av.;5450;14
Borges Jorge Luis;1750;14
Gurruchaga;1650;14
Fray Justo Santa María de Oro;2050;14
Del Libertador, Av;24000;14
Alvarez Julián;1440;14
República Dominicana;3598;14
Warnes Av.;270;15
Pueyrredón Honorio Dr. Av.;1330;15
San Martín Av.;5795;15
Belaústegui Luis Dr.;812;15
Barzana;1480;15
Navarro;22;15
Tronador;503;15
Montenegro;160;15
Avalos;1360;15
Warnes Av.;2450;15
Casafoust;650;15
